post_id,post_text,time,reaction_count,reactions,shares,comments,comments_full
10159896911506773,"From new features to new products, betas, and launches, 2022 was an ultra-busy year for Unity Gaming Services ✨

Check out all that you might have missed and learn more about what’s to come for UGS: https://on.unity.com/3XRxZfR",2023-02-01 03:29:38,59,"{'like': 55, 'love': 4}",4,1,"[{'comment_id': '864294664893942', 'comment_url': 'https://facebook.com/864294664893942', 'commenter_id': '100088411506645', 'commenter_url': 'https://facebook.com/profile.php?id=100088411506645&eav=AfbcEI3s3kTXSH2U86RTkTuJ7cNWkw1qqqxfpApaeoExCHVcIQyoavlA1K3R21F93K8&fref=nf&rc=p&__tn__=R&paipv=0', 'commenter_name': 'Fable Galvez', 'commenter_meta': None, 'comment_text': 'Dead island Giant Mountain Backlot Right Hall Behind Hall Corner', 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}]"
10159896875446773,"Looking for some tips on UI design for your mobile games? 📱

You'll find some of the best practices from the team at Outfit7 in our latest interview.
Read part 1 of our latest blog 👇",2023-02-01 03:03:24,84,"{'like': 80, 'love': 4}",12,2,"[{'comment_id': '503181552014922', 'comment_url': 'https://facebook.com/503181552014922', 'commenter_id': '100001460698216', 'commenter_url': 'https://facebook.com/aska.gebura?eav=AfZL5uIAOUzIdGFVQHMi3ZhZ05RIYG4_o5sMrwXjfMkfgAgZEJ3mSkBS3ZhGJYg1MBI&fref=nf&rc=p&refid=52&__tn__=R&paipv=0', 'commenter_name': 'Aśka Vel Lisica', 'commenter_meta': None, 'comment_text': 'Are those graphics from Dungeon Overlord? 🤔', 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '586385552916701', 'comment_url': 'https://facebook.com/586385552916701', 'commenter_id': '100087262753184', 'commenter_url': 'https://facebook.com/profile.php?id=100087262753184&eav=Afb4OmVPOOsJW5Th1NHffaMLSvT_FE4bbSQ1xjxYwPOpbH9t8S3qjbHrRtCIGb_lN1o&fref=nf&rc=p&refid=52&__tn__=R&paipv=0', 'commenter_name': 'Priya Lodwal', 'commenter_meta': None, 'comment_text': 'Can I make my game on android', 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}]"
10159896340646773,"It's time for Global Game Jam! If you need help with your submission, we've got you covered! 🥳

In our latest blog, you'll find plenty of resources, from Twitch streams and forum threads, to our latest templates to get you started 👇",2023-01-31 21:00:02,54,"{'like': 48, 'love': 5, 'wow': 1}",2,0,[]
10159894979501773,"Global Game Jam has officially started ✨

If you're feeling a bit overwhelmed or running low on time, here's an #AssetStore mega bundle made to help you jam it up: https://on.unity.com/40rv1R5 #GGJ23",2023-01-31 02:51:46,37,{'like': 37},2,1,"[{'comment_id': '6283492228350112', 'comment_url': 'https://facebook.com/6283492228350112', 'commenter_id': '1253996182', 'commenter_url': 'https://facebook.com/99Zulu?eav=AfbRcJOzGm3jZphCwGg4U7m6F6KFlrDOmhoSl3W3NdhYCzkL8RUYNRbuOHNi9LJrioc&fref=nf&rc=p&__tn__=R&paipv=0', 'commenter_name': 'Austin Ware', 'commenter_meta': None, 'comment_text': 'Too good to pass up, got mine!', 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}]"
10159886735561773,"✨ Meet Esther Perez based in Columbus, Ohio on our Benefits team! Joining Unity last year, Esther brought her passion for mental, physical, and financial wellness to support the Americas benefits program, communication, and employee education.

Step into Esther's shoes to explore a day in the life of a tech industry global benefits specialist at Unity: https://on.unity.com/3ZXG3gv

#UnityLife",2023-01-27 00:00:00,33,"{'like': 31, 'love': 2}",1,5,"[{'comment_id': '566171432226005', 'comment_url': 'https://facebook.com/566171432226005', 'commenter_id': '100003626618762', 'commenter_url': 'https://facebook.com/romeo.keivan?eav=AfYSRGJbmwqlfld9F8__BgG66-MphUkwcG48gC9pS3dhuAxgMUVRocjgpE2nt0ukrkk&fref=nf&rc=p&__tn__=R&paipv=0', 'commenter_name': 'Roma Keivan', 'commenter_meta': None, 'comment_text': 'People from Ohio', 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': 'https://media1.tenor.co/images/d361409f3fa2c598dcf2c0793fc47962/tenor.gif?c=VjFfZmFjZWJvb2tfd2ViY29tbWVudHM&itemid=22783217&fbclid=IwAR33HPU_mTXW3a0AU3kgPxcHrHOXew0o7Kc5R3Rjyu70fwaLTcDhbu0SlFU', 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '690129762811772', 'comment_url': 'https://facebook.com/690129762811772', 'commenter_id': '100000495690743', 'commenter_url': 'https://facebook.com/sebastian.sz7?eav=AfZmlPvWKv174JPqGRb-_-gSwp0SlToakJRRCDB1c0fJIT8t49LQhGmPdiFz3D3FlGQ&fref=nf&rc=p&__tn__=R&paipv=0', 'commenter_name': 'Sebastian Szubartowski', 'commenter_meta': None, 'comment_text': 'Hello.\nI have just read your game raport and have few questions about IT. To whom can I contact about the report?', 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '2324141507780699', 'comment_url': 'https://facebook.com/2324141507780699', 'commenter_id': '100069147312172', 'commenter_url': 'https://facebook.com/beeboy466?eav=AfYQrBgKit9NyqfWdWtobDELvexs4PzzFfV5qSDWSfMQ22q51Iy7AXU8GhAtBfmYk1w&fref=nf&rc=p&__tn__=R&paipv=0', 'commenter_name': 'Bee Boy', 'commenter_meta': None, 'comment_text': 'very good esther', 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}]"
10159884995671773,"Does a mobile game have a lifespan? What if we told you it doesn't have to?

Line Drift was able to revitalize Let’s Bowl 2, launched in 2012, by significantly decreasing support tickets and increasing player retention by 90% using Unity Authentication and Analytics 🤯

How they did it: https://on.unity.com/3wuZ0tj",2023-01-26 00:33:16,28,"{'like': 25, 'love': 3}",5,1,"[{'comment_id': '849968039399244', 'comment_url': 'https://facebook.com/849968039399244', 'commenter_id': '100000394347536', 'commenter_url': 'https://facebook.com/daniel.anton.125?eav=AfZba7DGqb7MeeiR-T8On6pZDJqnAxdDOBQPBvPAHGKQhdVhPVCAlN0wrYfuUuzSuy8&fref=nf&rc=p&__tn__=R&paipv=0', 'commenter_name': 'Daniel Anton', 'commenter_meta': None, 'comment_text': 'I remember this game😅 I did the UI for it.', 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}]"
10159881286671773,"Big fan of using smoke and explosion effects for your project?

As part of #Unity 2022.2 Tech Stream, we introduced an end-to-end workflow that allows realistic rendering of smoke from baked simulation. We also added a library of ready-to-use baked maps to make it easy for you to push smoke effects to a new level of visual fidelity.

Explore the new tools and features in this blog: on.unity.com/3J3bekp",2023-01-23 23:56:21,133,"{'like': 115, 'love': 15, 'wow': 2, 'care': 1}",15,4,"[{'comment_id': '5833246603423840', 'comment_url': 'https://facebook.com/5833246603423840', 'commenter_id': '100089752925554', 'commenter_url': 'https://facebook.com/KaffeLejonet?eav=AfbsU2msVdiUrE5zfu6nVVw8Jpf2RuabtAv5_x_h22xwHEnsxOFyTj-ggG6hMqUnD34&fref=nf&rc=p&refid=52&__tn__=%7ER&paipv=0', 'commenter_name': 'KaffeLejonet', 'commenter_meta': None, 'comment_text': ""Looks great, i'm new to the program but will try to add it and see how it works for the future 🤘"", 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '1539413253191811', 'comment_url': 'https://facebook.com/1539413253191811', 'commenter_id': '1528575529', 'commenter_url': 'https://facebook.com/simon.alkemade?eav=AfY5f_gXCGMqeMCp0ypBChn86Q5kFzYIRyA6dprG6Wg9dhbiZeSitpAy3uNN4pKgVCw&fref=nf&rc=p&refid=52&__tn__=R&paipv=0', 'commenter_name': 'Simon Alkemade', 'commenter_meta': None, 'comment_text': 'How heavy is the Z-sorting compared to simply having it rendered last?', 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': 'https://scontent.fhan5-10.fna.fbcdn.net/m1/v/t6/An_UvxJXg9tdnLU3Y5qjPi0200MLilhzPXUgxzGjQzUMaNcmjdZA6anyrngvkdub33NZzZhd51fpCAEzNHFhko5aKRFP5fS1w_lKwYrzcNLupv27.png?ccb=10-5&oh=00_AfAYR-_cpFYsf8EwyS8oFfaqWrpW4pbN9od3PL8AdF4DHA&oe=658A52B9&_nc_sid=7da55a', 'comment_reactors': [{'name': 'Okba Gherbi', 'link': 'https://facebook.com/OkbaGherbii?eav=Afbovr-w76aNa1DTfmh4yZ5fZRoI9eFrZ164tIf1Nciq8YEtsMYQf9EdfCH2I5J84Cc&fref=pb&paipv=0', 'type': 'like'}], 'comment_reactions': {'like': 1}, 'comment_reaction_count': 1, 'replies': []}, {'comment_id': '2676059405908724', 'comment_url': 'https://facebook.com/2676059405908724', 'commenter_id': '512979490', 'commenter_url': 'https://facebook.com/rtargett1?eav=AfbUZ7OzYaw_QbOom1Uuenta54geniW1fAdCMCTHtS8Kgum6JIfS_Qeq-1wM4G1bpW8&fref=nf&rc=p&refid=52&__tn__=%7ER&paipv=0', 'commenter_name': 'Richard Targett', 'commenter_meta': None, 'comment_text': '. ! .', 'comment_time': datetime.datetime(2023, 3, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}]"
10159873602826773,"New year, new Dev Blitz Day! 🌟

On January 26, the #Unity devs behind our Authoring tools will be answering your questions around Search, Editor Tools, Scene Workflows, Splines, and more in our Forum and Discord. Details of the event: on.unity.com/3waJrqC

We can't wait to see all your questions 👀",2023-01-20 01:08:25,39,"{'like': 38, 'love': 1}",5,0,[]
10159871845426773,"Last year, some of our community’s favorite Asset Store creators like More Mountains and Amplify Creations joined us for a Twitter takeover series to share tricks on using their assets and top #UnityTips for game devs 💡

Curious about all the insights they shared? Get the highlights here: on.unity.com/3XmHm6O

(🟣 Credit: Daniel Zeller)",2023-01-19 03:05:38,128,"{'like': 102, 'love': 13, 'wow': 12, 'care': 1}",9,5,"[{'comment_id': '645824800567056', 'comment_url': 'https://facebook.com/645824800567056', 'commenter_id': '100000113597356', 'commenter_url': 'https://facebook.com/christopher.orestis?eav=AfbTchkU98oLr1rTQoTjkrI7A1XuCCDBtnCy1LF6GRk0jIELfwo2KXbmvpNviNuQ4Jw&fref=nf&rc=p&refid=52&__tn__=R&paipv=0', 'commenter_name': 'Christopher Orestis', 'commenter_meta': None, 'comment_text': 'Wow, I just hope they fix the optimization in this engine. Then it will be the perfect engine to use besides unreal.', 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '738136487795288', 'comment_url': 'https://facebook.com/738136487795288', 'commenter_id': '100013513867544', 'commenter_url': 'https://facebook.com/profile.php?id=100013513867544&eav=AfbNth5XInCNx3HGlxVdmVMyZ0t30VHoh5wlVBmfSSajt3Xw6VBAgYGIRI8z2Ya0iq8&fref=nf&rc=p&refid=52&__tn__=R&paipv=0', 'commenter_name': 'Jack Widenhofer', 'commenter_meta': None, 'comment_text': 'It’s a cool concept. I just wish the details in the hair were still visible in the shadows. I could only see the colors. Maybe you can help offer this through your HDRP feature, and even with your Weta tools (though one may have been involved), plus Nvidia Omniverse. All those features can really be complimented with features similar to the Lumen and Nanite features of Unreal Engine 5.', 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '522947052988040', 'comment_url': 'https://facebook.com/522947052988040', 'commenter_id': '1070866521', 'commenter_url': 'https://facebook.com/ChazIvanM?eav=Afad-6a0GLyua7f101y0aSCOnX0sKb89iT24ooKOGq9U_IWkrf8-b1o64q3bD_1LVWw&fref=nf&rc=p&refid=52&__tn__=R&paipv=0', 'commenter_name': 'Chaz Ivan M', 'commenter_meta': None, 'comment_text': 'Im wondering the specs of that pc to render such a beautiful hairy thing', 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': [{'comment_id': '2972124286429566', 'comment_url': 'https://facebook.com/2972124286429566', 'commenter_id': '1528575529', 'commenter_url': 'https://facebook.com/simon.alkemade?eav=AfYVNKQbjmAJbTK6u_uycUz1Aq4Ijf1gNa66EOaylAvskj3EuWll9kq3B6dlTwQp1GI&fref=nf&rc=p&__tn__=R&paipv=0', 'commenter_name': 'Simon Alkemade', 'commenter_meta': None, 'comment_text': ""Chaz Ivan M Not sure but I would guess at minimum an RTX capable card. There are some fluffy/hairy/\nfur shaders and tools on the assets store. As long as you're not making Tribbles or Gremlins you probably will be fine."", 'comment_time': datetime.datetime(2023, 1, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None}]}]"
10159867446021773,"💥 Who else is excited for MARVEL SNAP's upcoming Battle Mode?

📖 Kent-Erik Hagman, associate design director at Second Dinner, will be taking over our blog today to share some game design insights on creating this new game mode.

Read on 👇",2023-01-16 21:00:04,42,"{'like': 41, 'wow': 1}",1,1,"[{'comment_id': '6074724389312587', 'comment_url': 'https://facebook.com/6074724389312587', 'commenter_id': '100076655290279', 'commenter_url': 'https://facebook.com/profile.php?id=100076655290279&eav=Afb2xJo7UIi6MsPLdwM862NditCb40gl_59YnazlZlmgABfoBnApKVXBN9lnmHqTo8c&fref=nf&rc=p&refid=52&__tn__=R&paipv=0', 'commenter_name': 'Hadja Hiba', 'commenter_meta': None, 'comment_text': '8 6tv', 'comment_time': datetime.datetime(2023, 3, 26, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}]"
10159860143591773,"Look, a mysterious lock! There's a glimmer under the rock to your left, could it be a key?

🔑 + 🔒 = 🔓

New genre unlocked: Cozy Games 🛋️

What is a cozy game? Why do players love them so much? Are there cozy assets?! So many questions, so many answers. Grab your favorite warm drink and read more: https://on.unity.com/3whP7PT",2023-01-13 02:58:29,66,"{'like': 57, 'love': 8, 'care': 1}",6,2,[]
10159857845826773,"We’ve made several updates and improvements to Global Illumination in the latest #Unity 2022.2 Tech Stream release to help you better achieve realistic indirect lighting 🔆

⭐ Improved performance for light baking with Progressive Lightmappers
⭐ Changes to path tracing in HDRP
⭐ Added features in the Preview release of Adaptive Probe Volumes
⭐ Deprecation of Enlighten Baked GI

Get all the details in our blog 🔽 🔽",2023-01-11 23:03:02,61,"{'like': 56, 'love': 4, 'sad': 1}",1,1,[]
